,TEC,C_max,Rtime,Status,Gaps
10.5,4529.7,3007,360.0348568,9,1
11,4745.4,2948.833333,360.0198746,9,1
11.5,4961.1,2939.5,360.0225868,9,1
12,5176.8,2733,360.0326519,9,1
12.5,5392.5,2567.5,360.0197945,9,1
13,5608.2,2733.333333,360.0291557,9,1
13.5,5823.9,2219.166667,360.0168858,9,1
14,6039.6,2439.666667,360.0216427,9,1
14.5,6255.3,1579.333333,360.0256577,9,1
15,6471,1556.166667,360.0236988,9,1
15.5,6686.7,1520.833333,360.0302925,9,1
16,6902.4,1508.666667,360.0168915,9,1
16.5,7118.1,1488.5,360.0198994,9,1
17,7333.8,1981.333333,360.0195808,9,1
17.5,7549.5,1713,360.0239353,9,1
18,7765.2,1423.333333,360.0181541,9,1
18.5,7980.9,1610.833333,360.0191193,9,1
19,8196.6,1741.333333,360.0282059,9,1
19.5,8412.3,1518.666667,360.0177917,9,1
20,8628,1318.666667,360.0185471,9,1
20.5,8843.7,1551.166667,360.0187149,9,1
21,9059.4,1380.833333,360.0194912,9,1
21.5,9275.1,1254,360.0173531,9,1
22,9490.8,1222.5,360.0168457,9,1
22.5,9706.5,1196.833333,360.021965,9,1
23,9922.2,1220.666667,360.0232296,9,1
23.5,10137.9,1378.666667,360.0274963,9,1
